1;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;branco;0;2011/2011;77000
2;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;preto;12345;2014/2014;101345
3;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;branco;19500;2012/2012;82990
4;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;cinza;20000;2012/2013;89000
5;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;branco;30000;2012/2012;81990
6;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;azul;39600;2012/2013;74900
7;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;branco;43000;2011/2011;78900
8;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;branco;54160;2012/2012;87990
9;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;manual;prata;123555;2011/2012;120000
10;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CS 16V TURBO INTERCOOLER DIESEL 2P MANUAL;manual;prata;0;2013/2014;77900
11;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CS 16V TURBO INTERCOOLER DIESEL 2P MANUAL;manual;branco;0;2013/2014;78990
12;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CS 16V TURBO INTERCOOLER DIESEL 2P MANUAL;manual;prata;0;2013/2014;87490
13;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CS 16V TURBO INTERCOOLER DIESEL 2P MANUAL;manual;prata;0;2013/2014;81900
14;amarok;VOLKSWAGEN AMAROK 2.0 4X2 CS 16V TURBO INTERCOOLER DIESEL 2P MANUAL;manual;prata;11000;2013/2013;72900
